baseline,context_length,decode_tokens,runs,device,dtype,rss_before_load_bytes,rss_after_load_bytes,model_load_rss_delta_bytes,rss_before_prefill_bytes_mean,rss_after_prefill_bytes_mean,rss_after_decode_bytes_mean,prefill_rss_delta_bytes_mean,decode_rss_delta_bytes_mean,total_rss_delta_bytes_mean,peak_rss_bytes_max,raw_json,rss_before_load_mib,rss_after_load_mib,model_load_rss_delta_mib,rss_before_prefill_mib_mean,rss_after_prefill_mib_mean,rss_after_decode_mib_mean,prefill_rss_delta_mib_mean,decode_rss_delta_mib_mean,total_rss_delta_mib_mean,peak_rss_mib_max
PyTorch host-side baseline,128,16,5,cuda,float16,738230272,2342719488,1604489216,2465660928,2465660928,2465660928,0,0,0,4859465728,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda/raw/torch_context_sweep_raw.json,704.03125,2234.19140625,1530.16015625,2351.4375,2351.4375,2351.4375,0.0,0.0,0.0,4634.34765625
PyTorch host-side baseline,512,16,5,cuda,float16,738230272,2342719488,1604489216,2470706381,2470706381,2470707200,0,819,819,4859465728,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda/raw/torch_context_sweep_raw.json,704.03125,2234.19140625,1530.16015625,2356.249218940735,2356.249218940735,2356.25,0.0,0.0007810592651367188,0.0007810592651367188,4634.34765625
PyTorch host-side baseline,1024,16,5,cuda,float16,738230272,2342719488,1604489216,2470970982,2470970982,2470971802,0,819,819,4859465728,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda/raw/torch_context_sweep_raw.json,704.03125,2234.19140625,1530.16015625,2356.5015621185303,2356.5015621185303,2356.5023441314697,0.0,0.0007810592651367188,0.0007810592651367188,4634.34765625
PyTorch host-side baseline,2048,16,5,cuda,float16,738230272,2342719488,1604489216,2471538688,2471538688,2471538688,0,0,0,4859465728,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda/raw/torch_context_sweep_raw.json,704.03125,2234.19140625,1530.16015625,2357.04296875,2357.04296875,2357.04296875,0.0,0.0,0.0,4634.34765625
PyTorch host-side baseline,4096,16,5,cuda,float16,738230272,2342719488,1604489216,2471616512,2471616512,2471616512,0,0,0,4859465728,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda/raw/torch_context_sweep_raw.json,704.03125,2234.19140625,1530.16015625,2357.1171875,2357.1171875,2357.1171875,0.0,0.0,0.0,4634.34765625
PyTorch host-side baseline,8192,16,5,cuda,float16,738230272,2342719488,1604489216,2471735296,2471735296,2471735296,0,0,0,4859465728,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda/raw/torch_context_sweep_raw.json,704.03125,2234.19140625,1530.16015625,2357.23046875,2357.23046875,2357.23046875,0.0,0.0,0.0,4634.34765625
