phase,context_length,decode_steps,operator_group,call_count,total_us,phase_total_us,share_pct
decode,1024,8,Reshape/Transpose,7632,50466.0,4529860.0,1.1140741656475035
decode,1024,8,SimplifiedLayerNormalization,3768,30829.0,4529860.0,0.6805729095380431
decode,1024,8,Cast,48,308.0,4529860.0,0.006799327131522828
prefill,2048,0,MatMul,633,8460286.0,17306666.0,48.88455118969765
prefill,2048,0,Mul,1020,3201130.0,17306666.0,18.496514579989004
prefill,2048,0,SimplifiedLayerNormalization,471,249146.0,17306666.0,1.4395955870414323
prefill,2048,0,Reshape/Transpose,954,88434.0,17306666.0,0.5109823001148807
prefill,2048,0,Gather,1038,11990.0,17306666.0,0.06927966368565731
prefill,2048,0,Cast,6,53.0,17306666.0,0.0003062403815963167
decode,2048,1,MatMul,633,406296.0,574974.0,70.66336912625614
decode,2048,1,Mul,1020,6342.0,574974.0,1.1030063968109862
decode,2048,1,SimplifiedLayerNormalization,471,5892.0,574974.0,1.0247419883333855
decode,2048,1,Gather,1038,5269.0,574974.0,0.9163892628188406
decode,2048,1,Reshape/Transpose,954,5030.0,574974.0,0.8748221658718481
decode,2048,1,Cast,6,33.0,574974.0,0.005739389955024053
decode,2048,2,MatMul,1266,811297.0,1135060.0,71.47613342025973
decode,2048,2,Mul,2040,12345.0,1135060.0,1.0876077035575213
decode,2048,2,Gather,2076,10418.0,1135060.0,0.9178369425404824
decode,2048,2,Reshape/Transpose,1908,10045.0,1135060.0,0.8849752435994572
decode,2048,2,SimplifiedLayerNormalization,942,9584.0,1135060.0,0.8443606505382976
decode,2048,2,Cast,12,71.0,1135060.0,0.006255175937835885
decode,2048,4,MatMul,2532,1470284.0,2031037.0,72.39080331869877
decode,2048,4,Mul,4080,24619.0,2031037.0,1.2121394144961417
decode,2048,4,Gather,4152,20795.0,2031037.0,1.0238612098154787
decode,2048,4,Reshape/Transpose,3816,19904.0,2031037.0,0.9799919942374264
decode,2048,4,SimplifiedLayerNormalization,1884,16940.0,2031037.0,0.834056691237038
decode,2048,4,Cast,24,150.0,2031037.0,0.007385389827954882
decode,2048,8,MatMul,5064,2915126.0,3913178.0,74.49510346833188
decode,2048,8,Mul,8160,49138.0,3913178.0,1.2557057205166746
decode,2048,8,Gather,8304,41644.0,3913178.0,1.0641989707598274
decode,2048,8,Reshape/Transpose,7632,39807.0,3913178.0,1.0172550290326685
decode,2048,8,SimplifiedLayerNormalization,3768,31469.0,3913178.0,0.8041801318519117
decode,2048,8,Cast,48,295.0,3913178.0,0.007538629727551367
