phase,context_length,decode_steps,category,profile_count,call_count,total_us,mean_us,matmul_total_us,matmul_share_pct,phase_node_total_us,phase_node_share_pct,matched_node_count,profile_name_only_count
decode,512,1,attention_qkv_projection,3,234,18304.0,78.22222222222223,358931.0,5.099587385876394,425560.0,4.3011561236958356,234,0
decode,512,1,attention_output_projection,3,78,13364.0,171.33333333333334,358931.0,3.723278290256345,425560.0,3.140332738039289,78,0
decode,512,1,attention_v_weighted_sum,3,78,3325.0,42.62820512820513,358931.0,0.9263618912827256,425560.0,0.781323432653445,78,0
decode,512,1,unknown,3,6,40.0,6.666666666666667,358931.0,0.011144203203401211,425560.0,0.009399379640943699,6,0
decode,512,1,attention_qk_score,3,0,0.0,0.0,358931.0,0.0,425560.0,0.0,0,0
decode,512,2,mlp_projection,3,468,446004.0,953.0,707587.0,63.031683736416866,845125.0,52.77373169649459,468,0
decode,512,2,lm_head,3,6,197607.0,32934.5,707587.0,27.926883902615508,845125.0,23.381984913474337,6,0
decode,512,2,attention_qkv_projection,3,468,37109.0,79.29273504273505,707587.0,5.244443439463981,845125.0,4.3909480846028695,468,0
decode,512,2,attention_output_projection,3,156,23433.0,150.21153846153845,707587.0,3.3116775746303984,845125.0,2.7727259281171426,156,0
decode,512,2,attention_v_weighted_sum,3,156,3359.0,21.53205128205128,707587.0,0.47471194354899116,845125.0,0.39745599763348616,156,0
decode,512,2,unknown,3,12,75.0,6.25,707587.0,0.010599403324255532,845125.0,0.008874426859931964,12,0
decode,512,2,attention_qk_score,3,0,0.0,0.0,707587.0,0.0,845125.0,0.0,0,0
decode,512,4,mlp_projection,3,936,870232.0,929.7350427350427,1386165.0,62.779827798277985,1653678.0,52.62402958738037,936,0
decode,512,4,lm_head,3,12,392537.0,32711.416666666668,1386165.0,28.318201657089887,1653678.0,23.737208815742846,12,0
decode,512,4,attention_qkv_projection,3,936,71936.0,76.85470085470085,1386165.0,5.189569784260892,1653678.0,4.350060894563512,936,0
decode,512,4,attention_output_projection,3,312,44814.0,143.6346153846154,1386165.0,3.2329484585168435,1653678.0,2.7099592544618725,312,0
decode,512,4,attention_v_weighted_sum,3,312,6491.0,20.80448717948718,1386165.0,0.46827037185327863,1653678.0,0.3925189789064134,312,0
decode,512,4,unknown,3,24,155.0,6.458333333333333,1386165.0,0.011181930001118194,1653678.0,0.009373046022260682,24,0
decode,512,4,attention_qk_score,3,0,0.0,0.0,1386165.0,0.0,1653678.0,0.0,0,0
decode,512,8,mlp_projection,3,1872,1693772.0,904.792735042735,2724704.0,62.163523083608354,3219968.0,52.60213766099538,1872,0
decode,512,8,lm_head,3,24,786158.0,32756.583333333332,2724704.0,28.85296898305284,3219968.0,24.415087354905392,24,0
decode,512,8,attention_qkv_projection,3,1872,144299.0,77.08279914529915,2724704.0,5.295951413437937,3219968.0,4.4813799391795195,1872,0
decode,512,8,attention_output_projection,3,624,87132.0,139.6346153846154,2724704.0,3.1978519501567875,3219968.0,2.7059896247416124,624,0
decode,512,8,attention_v_weighted_sum,3,624,13027.0,20.876602564102566,2724704.0,0.4781069796939411,3219968.0,0.40456923795515976,624,0
decode,512,8,unknown,3,48,316.0,6.583333333333333,2724704.0,0.011597590050148565,3219968.0,0.009813762124344092,48,0
decode,512,8,attention_qk_score,3,0,0.0,0.0,2724704.0,0.0,3219968.0,0.0,0,0
prefill,1024,0,mlp_projection,3,234,2074969.0,8867.388888888889,3708708.0,55.94856753349144,6553702.0,31.661021511200843,234,0
prefill,1024,0,lm_head,3,3,1191334.0,397111.3333333333,3708708.0,32.122615207236585,6553702.0,18.1780312867445,3,0
prefill,1024,0,attention_qkv_projection,3,234,162728.0,695.4188034188035,3708708.0,4.3877274781406355,6553702.0,2.482993581337693,234,0
prefill,1024,0,attention_output_projection,3,78,145465.0,1864.9358974358975,3708708.0,3.922255405386458,6553702.0,2.2195852054304575,78,0
prefill,1024,0,attention_v_weighted_sum,3,78,134078.0,1718.948717948718,3708708.0,3.61522125764552,6553702.0,2.045836078601072,78,0
prefill,1024,0,unknown,3,6,134.0,22.333333333333332,3708708.0,0.0036131180993488835,6553702.0,0.0020446459115779146,6,0
prefill,1024,0,attention_qk_score,3,0,0.0,0.0,3708708.0,0.0,6553702.0,0.0,0,0
decode,1024,1,mlp_projection,3,234,244299.0,1044.0128205128206,377979.0,64.6329557991317,481902.0,50.69474706475591,234,0
decode,1024,1,lm_head,3,3,98345.0,32781.666666666664,377979.0,26.018641247265062,481902.0,20.407676249527913,3,0
decode,1024,1,attention_qkv_projection,3,234,22448.0,95.93162393162393,377979.0,5.9389542805288125,481902.0,4.658208515424298,234,0
decode,1024,1,attention_output_projection,3,78,10597.0,135.85897435897436,377979.0,2.80359490871186,481902.0,2.1989948163734536,78,0
decode,1024,1,attention_v_weighted_sum,3,78,2255.0,28.91025641025641,377979.0,0.5965939906714395,481902.0,0.46793746446372914,78,0
decode,1024,1,unknown,3,6,35.0,5.833333333333333,377979.0,0.009259773691130988,481902.0,0.0072628874750467936,6,0
decode,1024,1,attention_qk_score,3,0,0.0,0.0,377979.0,0.0,481902.0,0.0,0,0
