baseline,context_length,decode_tokens,runs,warmup_runs,device,dtype,model_load_ms,tokenizer_load_ms,prefill_ms_mean,prefill_ms_median,prefill_ms_min,prefill_ms_max,prefill_ms_std,decode_total_ms_mean,decode_total_ms_median,decode_total_ms_min,decode_total_ms_max,decode_total_ms_std,decode_ms_per_token_mean,decode_ms_per_token_median,decode_ms_per_token_min,decode_ms_per_token_max,decode_ms_per_token_std,past_key_values_types,raw_json
PyTorch host-side baseline,128,16,5,1,cpu,bfloat16,66.65410900313873,507.8609129996039,124.51303140260279,124.27771600778215,123.41914999706205,125.87780099420343,0.8171812119643974,1055.8366547862533,1055.7974739931524,1053.3210370049346,1058.1874190102099,1.7212036461001168,65.98979092414083,66.01784699887503,65.32663899997715,66.7902309942292,0.35732034035478105,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,512,16,5,1,cpu,bfloat16,66.65410900313873,507.8609129996039,407.27560260274913,406.9332140061306,404.46231099485885,411.85038500407245,2.554063162617686,1175.7002680242294,1175.3476120647974,1169.8916740133427,1179.8352010373492,3.379841751570889,73.48126675151434,73.47248050064081,72.44297000579536,75.05050800682511,0.4739578608500645,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,1024,16,5,1,cpu,bfloat16,66.65410900313873,507.8609129996039,848.2392253994476,849.2787110008067,842.921611998463,852.9233610024676,3.49200917547244,1188.438374796533,1188.5520979994908,1186.6356809914578,1189.9219329789048,1.0566064024053485,74.27739842478331,74.24317100230837,73.60702399455477,75.8033079910092,0.3588742684489979,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,2048,16,5,1,cpu,bfloat16,66.65410900313873,507.8609129996039,2217.2988092002925,2213.755977994879,2202.4562760052504,2237.8108789998805,11.703022305872064,1231.275419393205,1232.4753460416105,1225.1344139949651,1235.2843889966607,3.594042088917528,76.95471371207532,76.73075099592097,76.13626000238582,82.71751999564003,1.0297207628254137,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,4096,16,5,1,cpu,bfloat16,66.65410900313873,507.8609129996039,5692.6930246001575,5701.561866997508,5659.647883992875,5735.495361004723,27.79874800363201,1286.659027414862,1284.8099739931058,1284.4308480271138,1291.1908520036377,2.6537304993906186,80.41618921342888,80.18982349312864,79.53753499896266,83.81324900256004,0.8741872327584355,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,8192,16,5,1,cpu,bfloat16,66.65410900313873,507.8609129996039,16743.848958000308,16713.6304910091,16675.86767800094,16840.642907991423,60.02438604909509,1409.3668700021226,1404.3848299770616,1400.6200400035596,1429.396105973865,10.527985756953976,88.08542937513266,87.35999950295081,86.64555801078677,106.90817699651234,2.5944098141082392,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,16384,16,5,1,cpu,bfloat16,66.65410900313873,507.8609129996039,52242.045413999585,52308.25747799827,51188.89231100911,52959.36485299899,581.2371453540076,1707.5666417833418,1661.7279529746156,1645.761285952176,1826.5183400071692,70.69231153239014,106.72291511145886,103.61169200041331,100.57516799133737,131.03080399741884,6.783457999320841,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,32768,16,5,1,cpu,bfloat16,66.65410900313873,507.8609129996039,165746.7707570031,165750.52625700482,165543.78318000818,165965.09566101304,146.05136186787925,2087.6189295988297,2090.2470579749206,2070.9550300089177,2107.931067002937,12.69252302019141,130.47618309992686,129.73639649135293,128.05744400247931,137.32585399702657,2.050910699525732,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results/raw/torch_context_sweep_raw.json
