baseline,context_length,decode_tokens,runs,warmup_runs,device,dtype,model_load_ms,tokenizer_load_ms,prefill_ms_mean,prefill_ms_median,prefill_ms_min,prefill_ms_max,prefill_ms_std,decode_total_ms_mean,decode_total_ms_median,decode_total_ms_min,decode_total_ms_max,decode_total_ms_std,decode_ms_per_token_mean,decode_ms_per_token_median,decode_ms_per_token_min,decode_ms_per_token_max,decode_ms_per_token_std,past_key_values_types,raw_json
PyTorch host-side baseline,128,16,5,1,cuda,float16,554.2155069999808,531.2433500000111,13.215661800006728,13.143184000000474,13.13631099998247,13.442508000025555,0.1172324967304827,159.80498300002637,159.77595300000758,159.57326800003102,160.04751500008751,0.1652513189854667,9.987811437501648,9.956112499992287,9.83937899997045,10.445356000047923,0.12164179671231941,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,512,16,5,1,cuda,float16,554.2155069999808,531.2433500000111,35.04930980000154,35.0439910000091,35.03183399999443,35.08189400002948,0.01776764119300046,189.33566539993762,189.39271699991878,188.99556799993888,189.53772899988053,0.193128271054928,11.833479087496102,11.798995999981798,11.62541600001532,12.35846299999821,0.13882339530288618,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,1024,16,5,1,cuda,float16,554.2155069999808,531.2433500000111,60.982462399999804,60.98205500001086,60.937921999993705,61.04200999999421,0.0388101509385917,189.73846139998614,189.83637000002318,189.41112799996063,190.05521099995804,0.23062367101093445,11.858653837499133,11.821240500012209,11.667547999991257,12.421351000000413,0.14197338781477659,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,2048,16,5,1,cuda,float16,554.2155069999808,531.2433500000111,119.47395979998419,119.55895199997713,118.70321000003514,119.94180199997118,0.41126626731415583,189.84531220005465,189.7457830002054,189.56040200009738,190.31450999989374,0.25729825996694505,11.865332012503416,11.82265600002097,11.702640999999403,12.385915999971076,0.14633875768224536,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,4096,16,5,1,cuda,float16,554.2155069999808,531.2433500000111,261.9041705999848,261.91058999995676,261.83725999999297,261.9978509999896,0.05492076642442833,189.49946359997512,189.68034900012753,189.0925099999663,189.82170799995401,0.30768563375467717,11.843716474998445,11.767875499998581,11.655897000025561,12.948037999990447,0.27379006419308727,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,8192,16,5,1,cuda,float16,554.2155069999808,531.2433500000111,634.221219799997,634.1155320000098,634.086448000005,634.5173049999744,0.16308170008431316,190.72667919998594,190.64142499996706,190.0279609999984,191.6423810000083,0.5186448824699024,11.920417449999121,11.814648500006797,11.660810999956084,13.282001000050059,0.33032021876900786,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda/raw/torch_context_sweep_raw.json
