phase,context_length,decode_steps,runs,warmup_runs,latency_mean_ms,latency_p50_ms,latency_std_ms,per_token_mean_ms,profile_jsons,status,error
prefill,1024,0,3,1,2330.855477333292,2303.228222997859,164.98215357069992,2.276226052083293,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/prefill_ctx1024_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/prefill_ctx1024_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/prefill_ctx1024_run2.json,ok,
decode,1024,1,3,1,179.04059833381325,166.15630200249143,29.24637153014012,179.04059833381325,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps1_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps1_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps1_run2.json,ok,
decode,1024,2,3,1,379.2710973333063,346.8658759993559,59.22623493694743,189.63554866665314,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps2_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps2_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps2_run2.json,ok,
decode,1024,4,3,1,631.0829903328946,634.0151879994664,5.131334597585249,157.77074758322365,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps4_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps4_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps4_run2.json,ok,
decode,1024,8,3,1,1578.8006833330048,1516.0796990021481,384.32020734406314,197.3500854166256,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps8_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps8_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_1024/decode_ctx1024_steps8_run2.json,ok,
prefill,2048,0,3,1,5782.707959333493,5739.660923001793,228.28981866739701,2.823587870768307,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/prefill_ctx2048_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/prefill_ctx2048_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/prefill_ctx2048_run2.json,ok,
decode,2048,1,3,1,198.6871480003174,191.48830300036934,13.89044270165773,198.6871480003174,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/decode_ctx2048_steps1_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/decode_ctx2048_steps1_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/decode_ctx2048_steps1_run2.json,ok,
decode,2048,2,3,1,392.4066926665546,391.52829099839437,11.89306640506374,196.2033463332773,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/decode_ctx2048_steps2_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/decode_ctx2048_steps2_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/decode_ctx2048_steps2_run2.json,ok,
decode,2048,4,3,1,705.9759416648982,703.3179459976964,13.189448927592846,176.49398541622455,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/decode_ctx2048_steps4_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/decode_ctx2048_steps4_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/decode_ctx2048_steps4_run2.json,ok,
decode,2048,8,3,1,1361.0913083333191,1360.9412930018152,8.811643787934102,170.1364135416649,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/decode_ctx2048_steps8_run0.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/decode_ctx2048_steps8_run1.json; /home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_onnx_sweep/raw/context_2048/decode_ctx2048_steps8_run2.json,ok,
