context_length,decode_steps,prefill_mean_ms,decode_total_mean_ms,decode_per_token_mean_ms,matmul_prefill_share_pct,matmul_decode_share_pct,top_prefill_op,top_decode_op
128,1,250.47545633303042,157.66836033314272,157.66836033314272,77.10242949846682,82.20206902531699,MatMul,MatMul
128,2,250.47545633303042,291.7811999989984,145.8905999994992,77.10242949846682,87.09300362040698,MatMul,MatMul
128,4,250.47545633303042,618.4098593342545,154.60246483356363,77.10242949846682,87.41721218582417,MatMul,MatMul
128,8,250.47545633303042,1152.4589716646005,144.05737145807507,77.10242949846682,86.7233514148608,MatMul,MatMul
512,1,856.6811946645126,164.5727616669319,164.5727616669319,71.6956824375607,83.69816072541482,MatMul,MatMul
512,2,856.6811946645126,324.0529896696292,162.0264948348146,71.6956824375607,82.99126893676463,MatMul,MatMul
512,4,856.6811946645126,627.9115036656245,156.97787591640613,71.6956824375607,84.22822136583807,MatMul,MatMul
512,8,856.6811946645126,1216.567319665046,152.07091495813074,71.6956824375607,85.10697883310509,MatMul,MatMul
1024,1,2330.855477333292,179.04059833381325,179.04059833381325,55.52930122569425,82.11136652807015,MatMul,MatMul
1024,2,2330.855477333292,379.2710973333063,189.63554866665314,55.52930122569425,79.4468010977515,MatMul,MatMul
1024,4,2330.855477333292,631.0829903328946,157.77074758322365,55.52930122569425,81.5653343477884,MatMul,MatMul
1024,8,2330.855477333292,1578.8006833330048,197.3500854166256,55.52930122569425,81.56108577307025,MatMul,MatMul
2048,1,5782.707959333493,198.6871480003174,198.6871480003174,48.88455118969765,70.66336912625614,MatMul,MatMul
2048,2,5782.707959333493,392.4066926665546,196.2033463332773,48.88455118969765,71.47613342025973,MatMul,MatMul
2048,4,5782.707959333493,705.9759416648982,176.49398541622455,48.88455118969765,72.39080331869877,MatMul,MatMul
2048,8,5782.707959333493,1361.0913083333191,170.1364135416649,48.88455118969765,74.49510346833188,MatMul,MatMul
