dim,scope,entity,metric,used,total,percent,source_report,notes
32,fitter_final,,Total PLLs,0,4,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.fit.summary,Final fitted resource utilization from Quartus fit.summary
32,fitter_final,,UFM blocks,0,1,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.fit.summary,Final fitted resource utilization from Quartus fit.summary
32,fitter_final,,ADC blocks,0,2,0%,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.fit.summary,Final fitted resource utilization from Quartus fit.summary
32,entity_utilization,sweep_top_wrapper,Combinational ALUTs,102,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim32) from Quartus map.rpt
32,entity_utilization,sweep_top_wrapper,Dedicated Logic Registers,72,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim32) from Quartus map.rpt
32,entity_utilization,sweep_top_wrapper,DSP Elements,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim32) from Quartus map.rpt
32,entity_utilization,sweep_top_wrapper,DSP 9x9,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim32) from Quartus map.rpt
32,entity_utilization,sweep_top_wrapper,Pins,35,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8SweepTop_dim32) from Quartus map.rpt
32,entity_utilization,int8_qk_dot_product_core,Combinational ALUTs,102,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8_dim32) from Quartus map.rpt
32,entity_utilization,int8_qk_dot_product_core,Dedicated Logic Registers,71,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8_dim32) from Quartus map.rpt
32,entity_utilization,int8_qk_dot_product_core,DSP Elements,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8_dim32) from Quartus map.rpt
32,entity_utilization,int8_qk_dot_product_core,DSP 9x9,1,,,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/quartus/dim_sweep/projects/dim32/output_files/dot_product_dim32.map.rpt,Resource utilization by entity (DotProductInt8_dim32) from Quartus map.rpt
