baseline,context_length,decode_tokens,runs,warmup_runs,device,dtype,model_load_ms,tokenizer_load_ms,prefill_ms_mean,prefill_ms_median,prefill_ms_min,prefill_ms_max,prefill_ms_std,decode_total_ms_mean,decode_total_ms_median,decode_total_ms_min,decode_total_ms_max,decode_total_ms_std,decode_ms_per_token_mean,decode_ms_per_token_median,decode_ms_per_token_min,decode_ms_per_token_max,decode_ms_per_token_std,past_key_values_types,raw_json
PyTorch host-side baseline,128,16,5,1,cuda,float16,550.102969000136,498.7511489998724,13.204989400037448,13.171671000009155,13.10426300005929,13.326497999969433,0.07882384861039565,159.90500160010015,160.00812400034192,159.37576799956332,160.14240200047425,0.2754062094428509,9.99406260000626,9.959289999983412,9.857130000000325,10.62986900001306,0.121092674114768,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda_vram/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,512,16,5,1,cuda,float16,550.102969000136,498.7511489998724,35.047884399955365,35.067002999994656,34.996407999869916,35.08132000001751,0.033365301049553445,188.72234719997323,188.55086200028381,188.4449759998006,189.42845199990188,0.36183784963900656,11.795146699998327,11.756123000054686,11.632665999968594,12.512901000036436,0.1445737569495853,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda_vram/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,1024,16,5,1,cuda,float16,550.102969000136,498.7511489998724,60.96701379992737,60.982093999882636,60.91942499983816,61.01530699993418,0.03634866245858537,188.6003991997768,188.8905959992826,187.87932300006105,189.2487599998276,0.5958940338430495,11.78752494998605,11.755786999970042,11.624641000025804,12.272119999806819,0.13209477395336233,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda_vram/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,2048,16,5,1,cuda,float16,550.102969000136,498.7511489998724,118.79428180000104,118.78388899981474,118.76144600000771,118.86379300017325,0.03725368880324518,189.91277199988872,189.8735190000025,189.40687499980413,190.35234799957834,0.34376295662196343,11.869548249993045,11.822428500067872,11.684024000032878,12.76576300006127,0.17054440626618494,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda_vram/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,4096,16,5,1,cuda,float16,550.102969000136,498.7511489998724,262.7492961999451,262.7467799998158,262.6866880000307,262.83466500012764,0.05351484467971379,189.1550668000491,188.98056300054122,188.9532039997448,189.64849899998626,0.26570625514300467,11.822191675003069,11.732897000115372,11.618257999998605,12.961527000015849,0.2718222815493003,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda_vram/raw/torch_context_sweep_raw.json
PyTorch host-side baseline,8192,16,5,1,cuda,float16,550.102969000136,498.7511489998724,638.9646613999503,638.8196450000123,638.3623140000054,639.7235900001306,0.5229847870703415,189.83363679990362,189.8754140006531,189.43701599937413,190.15485399995669,0.24063094622976489,11.864602299993976,11.775487499903647,11.631051999984265,13.459409999995842,0.3325084054031605,DynamicCache,/home/monad/develop/ai_accel/sllm-fpga-decode-accelerator/onnx_profile/results_cuda_vram/raw/torch_context_sweep_raw.json
