node_index,node_name,fallback_classification,confidence,input_names,output_names,parent_ops,child_ops,evidence
3950,/model/layers.12/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.12/self_attn/Reshape_7_output_0; onnx::MatMul_10185,/model/layers.12/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4020,/model/layers.13/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.13/input_layernorm/Mul_1_output_0; onnx::MatMul_10197,/model/layers.13/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4044,/model/layers.13/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.13/input_layernorm/Mul_1_output_0; onnx::MatMul_10204,/model/layers.13/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4047,/model/layers.13/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.13/input_layernorm/Mul_1_output_0; onnx::MatMul_10205,/model/layers.13/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4226,/model/layers.13/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.13/self_attn/Mul_8_output_0; /model/layers.13/self_attn/Mul_9_output_0,/model/layers.13/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
4235,/model/layers.13/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.13/self_attn/Where_3_output_0; /model/layers.13/self_attn/Reshape_6_output_0,/model/layers.13/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
4244,/model/layers.13/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.13/self_attn/Reshape_7_output_0; onnx::MatMul_10232,/model/layers.13/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4314,/model/layers.14/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.14/input_layernorm/Mul_1_output_0; onnx::MatMul_10244,/model/layers.14/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4338,/model/layers.14/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.14/input_layernorm/Mul_1_output_0; onnx::MatMul_10251,/model/layers.14/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4341,/model/layers.14/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.14/input_layernorm/Mul_1_output_0; onnx::MatMul_10252,/model/layers.14/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4520,/model/layers.14/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.14/self_attn/Mul_8_output_0; /model/layers.14/self_attn/Mul_9_output_0,/model/layers.14/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
4529,/model/layers.14/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.14/self_attn/Where_3_output_0; /model/layers.14/self_attn/Reshape_6_output_0,/model/layers.14/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
