node_index,node_name,fallback_classification,confidence,input_names,output_names,parent_ops,child_ops,evidence
190,/model/layers.0/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.0/input_layernorm/Mul_1_output_0; onnx::MatMul_9586,/model/layers.0/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
214,/model/layers.0/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.0/input_layernorm/Mul_1_output_0; onnx::MatMul_9593,/model/layers.0/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
217,/model/layers.0/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.0/input_layernorm/Mul_1_output_0; onnx::MatMul_9594,/model/layers.0/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
400,/model/layers.0/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.0/self_attn/Mul_8_output_0; /model/layers.0/self_attn/Mul_9_output_0,/model/layers.0/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
409,/model/layers.0/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.0/self_attn/Where_3_output_0; /model/layers.0/self_attn/Reshape_6_output_0,/model/layers.0/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
418,/model/layers.0/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.0/self_attn/Reshape_7_output_0; onnx::MatMul_9621,/model/layers.0/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
488,/model/layers.1/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.1/input_layernorm/Mul_1_output_0; onnx::MatMul_9633,/model/layers.1/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
512,/model/layers.1/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.1/input_layernorm/Mul_1_output_0; onnx::MatMul_9640,/model/layers.1/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
515,/model/layers.1/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.1/input_layernorm/Mul_1_output_0; onnx::MatMul_9641,/model/layers.1/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
694,/model/layers.1/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.1/self_attn/Mul_8_output_0; /model/layers.1/self_attn/Mul_9_output_0,/model/layers.1/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
703,/model/layers.1/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.1/self_attn/Where_3_output_0; /model/layers.1/self_attn/Reshape_6_output_0,/model/layers.1/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
712,/model/layers.1/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.1/self_attn/Reshape_7_output_0; onnx::MatMul_9668,/model/layers.1/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
782,/model/layers.2/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.2/input_layernorm/Mul_1_output_0; onnx::MatMul_9680,/model/layers.2/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
806,/model/layers.2/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.2/input_layernorm/Mul_1_output_0; onnx::MatMul_9687,/model/layers.2/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
809,/model/layers.2/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.2/input_layernorm/Mul_1_output_0; onnx::MatMul_9688,/model/layers.2/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
988,/model/layers.2/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.2/self_attn/Mul_8_output_0; /model/layers.2/self_attn/Mul_9_output_0,/model/layers.2/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
997,/model/layers.2/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.2/self_attn/Where_3_output_0; /model/layers.2/self_attn/Reshape_6_output_0,/model/layers.2/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
1006,/model/layers.2/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.2/self_attn/Reshape_7_output_0; onnx::MatMul_9715,/model/layers.2/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1076,/model/layers.3/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.3/input_layernorm/Mul_1_output_0; onnx::MatMul_9727,/model/layers.3/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1100,/model/layers.3/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.3/input_layernorm/Mul_1_output_0; onnx::MatMul_9734,/model/layers.3/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1103,/model/layers.3/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.3/input_layernorm/Mul_1_output_0; onnx::MatMul_9735,/model/layers.3/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1282,/model/layers.3/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.3/self_attn/Mul_8_output_0; /model/layers.3/self_attn/Mul_9_output_0,/model/layers.3/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
1291,/model/layers.3/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.3/self_attn/Where_3_output_0; /model/layers.3/self_attn/Reshape_6_output_0,/model/layers.3/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
1300,/model/layers.3/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.3/self_attn/Reshape_7_output_0; onnx::MatMul_9762,/model/layers.3/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1370,/model/layers.4/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.4/input_layernorm/Mul_1_output_0; onnx::MatMul_9774,/model/layers.4/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1394,/model/layers.4/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.4/input_layernorm/Mul_1_output_0; onnx::MatMul_9781,/model/layers.4/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1397,/model/layers.4/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.4/input_layernorm/Mul_1_output_0; onnx::MatMul_9782,/model/layers.4/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1576,/model/layers.4/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.4/self_attn/Mul_8_output_0; /model/layers.4/self_attn/Mul_9_output_0,/model/layers.4/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
1585,/model/layers.4/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.4/self_attn/Where_3_output_0; /model/layers.4/self_attn/Reshape_6_output_0,/model/layers.4/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
1594,/model/layers.4/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.4/self_attn/Reshape_7_output_0; onnx::MatMul_9809,/model/layers.4/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1664,/model/layers.5/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.5/input_layernorm/Mul_1_output_0; onnx::MatMul_9821,/model/layers.5/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1688,/model/layers.5/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.5/input_layernorm/Mul_1_output_0; onnx::MatMul_9828,/model/layers.5/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1691,/model/layers.5/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.5/input_layernorm/Mul_1_output_0; onnx::MatMul_9829,/model/layers.5/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1874,/model/layers.5/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.5/self_attn/Mul_8_output_0; /model/layers.5/self_attn/Mul_9_output_0,/model/layers.5/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
1883,/model/layers.5/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.5/self_attn/Where_3_output_0; /model/layers.5/self_attn/Reshape_6_output_0,/model/layers.5/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
1892,/model/layers.5/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.5/self_attn/Reshape_7_output_0; onnx::MatMul_9856,/model/layers.5/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1962,/model/layers.6/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.6/input_layernorm/Mul_1_output_0; onnx::MatMul_9868,/model/layers.6/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1986,/model/layers.6/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.6/input_layernorm/Mul_1_output_0; onnx::MatMul_9875,/model/layers.6/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
1989,/model/layers.6/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.6/input_layernorm/Mul_1_output_0; onnx::MatMul_9876,/model/layers.6/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
2168,/model/layers.6/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.6/self_attn/Mul_8_output_0; /model/layers.6/self_attn/Mul_9_output_0,/model/layers.6/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
2177,/model/layers.6/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.6/self_attn/Where_3_output_0; /model/layers.6/self_attn/Reshape_6_output_0,/model/layers.6/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
2186,/model/layers.6/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.6/self_attn/Reshape_7_output_0; onnx::MatMul_9903,/model/layers.6/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
2256,/model/layers.7/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.7/input_layernorm/Mul_1_output_0; onnx::MatMul_9915,/model/layers.7/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
2280,/model/layers.7/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.7/input_layernorm/Mul_1_output_0; onnx::MatMul_9922,/model/layers.7/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
2283,/model/layers.7/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.7/input_layernorm/Mul_1_output_0; onnx::MatMul_9923,/model/layers.7/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
2462,/model/layers.7/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.7/self_attn/Mul_8_output_0; /model/layers.7/self_attn/Mul_9_output_0,/model/layers.7/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
2471,/model/layers.7/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.7/self_attn/Where_3_output_0; /model/layers.7/self_attn/Reshape_6_output_0,/model/layers.7/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
2480,/model/layers.7/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.7/self_attn/Reshape_7_output_0; onnx::MatMul_9950,/model/layers.7/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
2550,/model/layers.8/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.8/input_layernorm/Mul_1_output_0; onnx::MatMul_9962,/model/layers.8/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
2574,/model/layers.8/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.8/input_layernorm/Mul_1_output_0; onnx::MatMul_9969,/model/layers.8/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
2577,/model/layers.8/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.8/input_layernorm/Mul_1_output_0; onnx::MatMul_9970,/model/layers.8/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
2756,/model/layers.8/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.8/self_attn/Mul_8_output_0; /model/layers.8/self_attn/Mul_9_output_0,/model/layers.8/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
2765,/model/layers.8/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.8/self_attn/Where_3_output_0; /model/layers.8/self_attn/Reshape_6_output_0,/model/layers.8/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
2774,/model/layers.8/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.8/self_attn/Reshape_7_output_0; onnx::MatMul_9997,/model/layers.8/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
2844,/model/layers.9/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.9/input_layernorm/Mul_1_output_0; onnx::MatMul_10009,/model/layers.9/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
2868,/model/layers.9/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.9/input_layernorm/Mul_1_output_0; onnx::MatMul_10016,/model/layers.9/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
