phase,context_length,decode_steps,op_type,provider,profile_count,call_count,total_us,mean_us
decode,2048,8,Shape,CPUExecutionProvider,3,3888,17840.0,4.588477366255144
decode,2048,8,Transpose,CPUExecutionProvider,3,2544,13518.0,5.313679245283019
decode,2048,8,Div,CPUExecutionProvider,3,1248,7563.0,6.060096153846154
decode,2048,8,Equal,CPUExecutionProvider,3,1296,7162.0,5.526234567901234
decode,2048,8,Neg,CPUExecutionProvider,3,1248,6639.0,5.319711538461538
decode,2048,8,Softmax,CPUExecutionProvider,3,624,5179.0,8.299679487179487
decode,2048,8,Tanh,CPUExecutionProvider,3,624,4284.0,6.865384615384615
decode,2048,8,IsNaN,CPUExecutionProvider,3,624,3879.0,6.216346153846154
decode,2048,8,And,CPUExecutionProvider,3,144,878.0,6.097222222222222
decode,2048,8,Range,CPUExecutionProvider,3,72,387.0,5.375
decode,2048,8,Cast,CPUExecutionProvider,3,48,295.0,6.145833333333333
decode,2048,8,Sin,CPUExecutionProvider,3,48,260.0,5.416666666666667
decode,2048,8,Cos,CPUExecutionProvider,3,48,247.0,5.145833333333333
decode,2048,8,Greater,CPUExecutionProvider,3,24,158.0,6.583333333333333
decode,2048,8,Sub,CPUExecutionProvider,3,24,149.0,6.208333333333333
decode,2048,8,LessOrEqual,CPUExecutionProvider,3,24,140.0,5.833333333333333
decode,2048,8,Flatten,CPUExecutionProvider,3,24,102.0,4.25
